22	3	40	2	400	2	150	2	10	5	60
22	3	40	2	380	2	150	2	10	5	60
22	3	40	2	360	2	150	2	10	5	60
22	3	40	2	340	2	150	2	10	5	60
22	3	40	2	320	2	150	2	10	5	60
20	3	40	2	400	2	150	2	10	5	60
20	3	40	2	380	2	150	2	10	5	60
20	3	40	2	360	2	150	2	10	5	60
20	3	40	2	340	2	150	2	10	5	60
20	3	40	2	320	2	150	2	10	5	60
18	3	40	2	400	2	150	2	10	5	60
18	3	40	2	380	2	150	2	10	5	60
18	3	40	2	360	2	150	2	10	5	60
18	3	40	2	340	2	150	2	10	5	60
18	3	40	2	320	2	150	2	10	5	60
16	3	40	2	400	2	150	2	10	5	60
16	3	40	2	380	2	150	2	10	5	60
16	3	40	2	360	2	150	2	10	5	60
16	3	40	2	340	2	150	2	10	5	60
16	3	40	2	320	2	150	2	10	5	60
14	3	40	2	400	2	150	2	10	5	60
14	3	40	2	380	2	150	2	10	5	60
14	3	40	2	360	2	150	2	10	5	60
14	3	40	2	340	2	150	2	10	5	60
14	3	40	2	320	2	150	2	10	5	60
